Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
50,50.0,2018-02-01,20-199,Away,WAS,L (-3),1,3.0,5.0,0.6,2.0,OG Anunoby
51,51.0,2018-02-02,20-200,Home,POR,W (+25),1,0.0,3.0,0.0,1.0,OG Anunoby
52,52.0,2018-02-04,20-202,Home,MEM,W (+15),1,0.0,4.0,0.0,2.0,OG Anunoby
53,53.0,2018-02-06,20-204,Home,BOS,W (+20),1,0.0,1.0,0.0,2.0,OG Anunoby
54,54.0,2018-02-08,20-206,Home,NYK,W (+25),1,1.0,4.0,0.25,2.0,OG Anunoby
55,55.0,2018-02-11,20-209,Away,CHO,W (+20),1,0.0,0.0,,3.0,OG Anunoby
56,56.0,2018-02-13,20-211,Home,MIA,W (+3),1,2.0,2.0,1.0,2.0,OG Anunoby
57,57.0,2018-02-14,20-212,Away,CHI,W (+24),1,0.0,4.0,0.0,1.0,OG Anunoby
58,58.0,2018-02-23,20-221,Home,MIL,L (-3),1,0.0,0.0,,9.0,OG Anunoby
59,59.0,2018-02-26,20-224,Home,DET,W (+29),1,1.0,1.0,1.0,3.0,OG Anunoby
60,60.0,2018-02-28,20-226,Away,ORL,W (+13),1,1.0,1.0,1.0,2.0,OG Anunoby
